Number of Records,latitude,longitude,state,town,npa_plz
1,46.5212978418,6.63133210879,VD,Lausanne,1003
1,46.489313156,6.60782510441,VD,Lausanne,1007
1,46.5266602227,6.64396057396,VD,Lausanne,1011
1,46.5391184737,6.62924511636,VD,Lausanne,1018
1,46.5297859842,6.57628949866,VD,Chavannes-près-Renens,1022
1,46.625532932,6.57588475361,VD,Bettens,1042
1,46.6451137487,6.69812958409,VD,Dommartin,1041
1,46.6801692123,6.71916283009,VD,Boulens,1063
1,46.6557046292,6.67373683546,VD,Sugnens,1043
1,46.6741624133,6.68097246663,VD,Fey,1044
1,46.5868521041,6.65886830687,VD,Cugy VD,1053
1,46.5935903875,6.62788914246,VD,Morrens VD,1054
1,46.5994416382,6.69256683347,VD,Froideville,1055
1,46.6890588886,6.7455713045,VD,St-Cierges,1410
1,46.5614003939,6.74288011753,VD,Mollie-Margot,1073
1,46.5825584986,6.73134689835,VD,Montpreveyres,1081
1,46.6025629067,6.731625187,VD,Corcelles-le-Jorat,1082
1,46.6039754692,6.773652657,VD,Carrouge VD,1084
1,46.565814192,6.78989224149,VD,Essertes,1078
1,46.5429713968,6.44082482054,VD,Reverolle,1128
1,46.5747172465,6.48160340343,VD,Vullierens,1115
1,46.5948619653,6.46174862439,VD,Grancy,1117
1,46.5578682031,6.51140065194,VD,Romanel-sur-Morges,1122
1,46.5270730102,6.46751733526,VD,Vufflens-le-Château,1134
1,46.5186805462,6.4534402099,VD,Denens,1135
1,46.5548253743,6.37876035895,VD,Ballens,1144
1,46.5719382727,6.44294391664,VD,Sévery,1141
1,46.5071769166,6.35487058018,VD,Montherod,1174
1,46.5027378062,6.40893512729,VD,Lavigny,1175
1,46.4429226245,6.34130732266,VD,Rolle,1180
1,46.4490017774,6.29064934931,VD,Bursins,1183
1,46.4863771323,6.31125549968,VD,Essertines-sur-Rolle,1186
1,46.4961895682,6.2990329727,VD,St-Oyens,1187
1,46.5196434359,6.32762145063,VD,Saubraz,1189
1,46.2119833203,6.14764075287,GE,Genève,1201
1,46.2221619848,6.14388770929,GE,Genève,1202
1,46.2090912476,6.12285874994,GE,Genève,1203
1,46.1785617284,6.12142785674,GE,Grand-Lancy,1212
1,46.186604189,6.10100899593,GE,Onex,1213
1,46.2359576566,6.10712265088,GE,Genève 15 Aéroport,1215
1,46.235168149,6.07501152707,GE,Meyrin,1217
1,46.2462575767,6.20148290835,GE,Vésenaz,1222
1,46.20944584,6.20727241928,GE,Chêne-Bougeries,1224
1,46.1653962262,6.11878007149,GE,Plan-les-Ouates,1228
1,46.1770907163,6.03164184377,GE,Cartigny,1236
1,46.1686969364,5.99921461149,GE,Avully,1237
1,46.2275138297,6.22459634734,GE,Choulex,1244
1,46.2671894978,6.21916074358,GE,Corsier GE,1246
1,46.2384099104,6.2798750798,GE,Jussy,1254
1,46.1695923998,6.17767058839,GE,Veyrier,1255
1,46.1502318612,6.12142850255,GE,La Croix-de-Rozon,1257
1,46.381573114,6.23599028224,VD,Nyon,1260
1,46.3412992258,6.15524899135,VD,Chavannes-de-Bogis,1279
1,46.427487859,6.14001341483,VD,Gingins,1276
1,46.4340159757,6.19698501451,VD,Givrins,1271
1,46.4375143458,6.22112876522,VD,Genolier,1272
1,46.4895834659,6.16065014375,VD,Arzier-Le Muids,1273
1,46.4787023315,6.23444397644,VD,Le Vaud,1261
1,46.4908555786,6.19968025449,VD,Bassins,1269
1,46.4623276146,6.09425068005,VD,La Cure,1265
1,46.14936219,6.04810356251,GE,Soral,1286
1,46.3171989724,6.20138302406,VD,Coppet,1296
1,46.3343605414,6.19831985689,VD,Founex,1297
1,46.3474490032,6.17565040862,GE,Céligny,1298
1,46.5766885976,6.53813146847,VD,Vufflens-la-Ville,1302
1,46.6341246063,6.52633660136,VD,Lussery-Villars,1307
1,46.7095920451,6.3731137899,VD,Vallorbe,1337
1,46.5924354676,6.2584534661,VD,L'Orient,1341
1,46.6163093859,6.29153582636,VD,Les Bioux,1346
1,46.649973877,6.26124070795,VD,Le Lieu,1345
1,46.5698190125,6.19132710734,VD,Le Brassus,1348
1,46.6000323694,6.54218010514,VD,Penthaz,1303
